"gender","event","medal","athlete","abb","year"
"Women","100 m Freestyle 5","Bronze","KOZLOWSKA Malgorzata","POL",1980
"Women","100 m Freestyle 6","Gold","OGORZELSKA Agnieszka","POL",1980
"Women","100 m Freestyle 6","Silver","JABALOYAS Pilar","ESP",1980
"Women","100 m Freestyle 6","Bronze","MORGAN Christine","BAH",1980
"Women","400 m Freestyle C-D","Gold","RONNEGARD Helen","SWE",1980
"Women","400 m Freestyle C-D","Silver","MITCHELL J.","CAN",1980
"Women","400 m Freestyle C-D","Bronze","NICHOLSON M.","CAN",1980
"Women","25 m Backstroke 1A","Gold","DONALDSON Karen","USA",1980
"Women","25 m Backstroke 1A","Silver","CORNEJO Josefina","MEX",1980
"Women","25 m Backstroke 1A","Bronze","GARCIA Eugenia","ARG",1980
"Women","25 m Backstroke 1B","Gold","SANDOVAL Martha","MEX",1980
"Women","25 m Backstroke 1B","Silver","LOPEZ Monica","ARG",1980
"Women","25 m Backstroke 1B","Bronze","ROBERTSON Eileen","ZIM",1980
"Women","25 m Backstroke 1C","Gold","BARR Isabel","GBR",1980
"Women","25 m Backstroke 1C","Silver","ERIKSSON Kerstin","SWE",1980
"Women","50 m Backstroke CP C","Gold","VAN DER MEER M.","NED",1980
"Women","50 m Backstroke CP C","Silver","LAUWERS E.","BEL",1980
"Women","50 m Backstroke CP C","Bronze","BACH Dorthe","DEN",1980
"Women","50 m Backstroke F","Gold","ALLARD M. H.","FRA",1980
"Women","50 m Backstroke F","Silver","SEARGEANT M.","CAN",1980
"Women","50 m Backstroke F1","Gold","SIEVERT U.","FRG",1980
"Women","50 m Backstroke J","Gold","LAKE Josee","CAN",1980
"Women","50 m Backstroke J","Silver","VAN DEN ZAAG J.","NED",1980
"Women","50 m Backstroke J","Bronze","ESSBERG Carina","SWE",1980
"Women","50 m Backstroke 2","Gold","PRICE M.","GBR",1980
"Women","50 m Backstroke 2","Silver","WEBER D.","FRG",1980
"Women","50 m Backstroke 2","Bronze","KOPEC Malgorzata","POL",1980
"Women","50 m Backstroke 3","Gold","ADAMIK Malgozata","POL",1980
"Women","50 m Backstroke 3","Silver","MCPHERSON Nella","JAM",1980
"Women","50 m Backstroke 3","Bronze","RIZZOTTO Marcela","ARG",1980
"Women","100 m Backstroke A","Gold","MICHEL Yvette","CAN",1980
"Women","100 m Backstroke A","Silver","CARD Susan","USA",1980
"Women","100 m Backstroke A","Bronze","ROSSI Andrea","CAN",1980
"Women","100 m Backstroke B","Gold","ZORN Trischa","USA",1980
"Women","100 m Backstroke B","Silver","VAN LIERE Marie","USA",1980
"Women","100 m Backstroke B","Bronze","AKINS Missy","USA",1980
"Women","100 m Backstroke CP D","Gold","HAGERAATS Ineke","NED",1980
