25;"Yitao Li";"sparklyr 1.3: Higher-order Functions, Avro and Custom Serializers";"2020-07-16"
25;"Lou Bajuk, Carl Howe";"Interoperability: Getting the Most Out of Your Analytic Investments";"2020-07-15"
26;"Hadley Wickham";"readr 0.1.0";"2015-04-09"
26;"Garrett Grolemund";"Design patterns for action buttons";"2015-04-07"
26;"Garrett Grolemund";"Data Visualization cheatsheet, plus Spanish translations";"2015-03-30"
26;"Garrett Grolemund";"Package Development cheatsheet, plus Chinese translations";"2015-03-12"
26;"Hadley Wickham";"haven 0.1.0";"2015-03-04"
26;"Roger Oberg";"Announcing shinyapps.io General Availability";"2015-02-26"
26;"Jonathan McPherson";"RStudio v0.99 Preview: Data Viewer Improvements";"2015-02-24"
26;"RStudio Team";"RStudio v0.99 Preview: Code Completion";"2015-02-23"
26;"Jonathan McPherson";"RStudio v0.99 Preview: Vim Mode Improvements";"2015-02-23"
26;"Hadley Wickham";"Epoch.com sponsors RMySQL development";"2015-02-11"
27;"Kelly O'Briant";"RStudio Connect 1.8.4";"2020-07-14"
27;"Mine Çetinkaya-Rundel";"Winners of the 2nd Annual Shiny Contest";"2020-07-13"
27;"Daniel Petzold";"Why You Need a World Class IDE to Do Serious Data Science";"2020-07-09"
27;"Carl Howe";"Interoperability in July";"2020-07-07"
27;"Sean Lopp";"Announcing Public Package Manager and v1.1.6";"2020-07-01"
27;"Dean Wood, Mango Solutions";"Future-Proofing Your Data Science Team";"2020-06-30"
27;"Lou Bajuk, Carl Howe";"Does your Data Science Team Deliver Durable Value?";"2020-06-24"
27;"Lou Bajuk, Carl Howe";"Is Your Data Science Team Agile?";"2020-06-09"
27;"Lou Bajuk, Carl Howe";"Is Your Data Science Credible Enough?";"2020-06-02"
27;"Javier Luraschi";"pins 0.4.0: Versioning";"2020-05-29"
28;"Hadley Wickham";"devtools 1.8.0";"2015-05-11"
28;"Kevin Ushey";"RStudio v0.99 Preview: More Editor Enhancements";"2015-05-06"
28;"Hadley Wickham";"stringr 1.0.0";"2015-05-05"
28;"RStudio Team";"RStudio v0.99 Preview: Graphviz and DiagrammeR";"2015-05-01"
28;"RStudio Team";"RStudio v0.99 Preview: Code Diagnostics";"2015-04-28"
28;"Hadley Wickham";"Parse and process XML (and HTML) with xml2";"2015-04-21"
28;"Hadley Wickham";"Get data out of excel and into R with readxl";"2015-04-15"
28;"RStudio Team";"Interactive time series with dygraphs";"2015-04-14"
28;"RStudio Team";"RStudio v0.99 Preview: Tools for Rcpp";"2015-04-14"
28;"RStudio Team";"RStudio v0.99 Preview: Code Snippets";"2015-04-13"
29;"Jonathan McPherson";"RStudio 1.3 Released";"2020-05-27"
29;"Carl Howe, Sean Lopp";"The Role of the Data Scientist";"2020-05-27"
29;"Lou Bajuk";"Driving Real, Lasting Value with Serious Data Science";"2020-05-19"
29;"Carl Howe";"Equipping Your Data Science Team to Work from Home";"2020-05-12"
29;"Yitao Li";"sparklyr 1.2: Foreach, Spark 3.0 and Databricks Connect";"2020-05-06"
29;"Carl Howe";"Wrangling Unruly Data: The Bane of Every Data Science Team";"2020-05-05"
29;"Sean Lopp, RStudio";"Avoid Irrelevancy and Fire Drills in Data Science Teams";"2020-04-28"
29;"Carl Howe, RStudio";"Getting to the Right Question";"2020-04-22"
29;"Hadley Wickham";"RStudio and COVID-19";"2020-04-17"
29;"Jason Milnes";"Effective Visualizations for Credible, Data-Driven Decision Making";"2020-04-16"
30;"Yihui Xie";"Leaflet: Interactive web maps with R";"2015-06-24"
30;"Tareef Kawaf";"RStudio adds custom domains, bigger data and package support to shinyapps.io";"2015-06-24"
30;"Joe Cheng";"d3heatmap: Interactive heat maps";"2015-06-24"
30;"Garrett Grolemund";"New Shiny cheat sheet and video tutorial";"2015-06-22"
30;"Joe Cheng";"Shiny 0.12: Interactive Plots with ggplot2";"2015-06-16"
30;"Roger Oberg";"Hadley Wickham's Master R Developer Workshop - Washington DC registration is open";"2015-06-12"
30;"Hadley Wickham";"testthat 0.10.0";"2015-05-29"
30;"Garrett Grolemund";"SparkR preview by Vincent Warmerdam";"2015-05-28"
30;"RStudio Team";"New Version of RStudio (v0.99) Available Now";"2015-05-26"
30;"Tareef Kawaf";"Hadley Wickham Master R Developer Workshop in Chicago – Space Limited";"2015-05-12"
31;"Richard Iannone";"Great Looking Tables: gt (v0.2)";"2020-04-08"
31;"Kelly O'Briant";"RStudio Connect 1.8.2";"2020-04-02"
31;"Mine Çetinkaya-Rundel";"Shiny Contest 2020 deadline extended";"2020-03-18"
31;"Jonathan McPherson";"RStudio 1.3 Preview: The Little Things";"2020-03-17"
